slug,name,drugbank_id,license_id,evidence_level,indication_count,original_indication,predicted_indication,txgnn_score,thailand_approved,decision,url
clozapine,Clozapine,DB00363,1A 145/67,L4,10,จิตเภท,manic bipolar affective disorder,0.9995,True,รอหลักฐานเพิ่มเติม,/drugs/clozapine/
aripiprazole,Aripiprazole,DB01238,1A 146/67,L4,10,"จิตเภท, ไบโพลาร์",manic bipolar affective disorder,0.9998,True,รอหลักฐานเพิ่มเติม,/drugs/aripiprazole/
paliperidone,Paliperidone,DB01267,1A 147/67,L4,10,จิตเภท,schizophrenia,0.9996,True,รอหลักฐานเพิ่มเติม,/drugs/paliperidone/
venlafaxine,Venlafaxine,DB00285,1A 148/67,L5,10,"ซึมเศร้า, วิตกกังวล",endogenous depression,0.9897,True,รอหลักฐานเพิ่มเติม,/drugs/venlafaxine/
duloxetine,Duloxetine,DB00476,1A 149/67,L4,10,"ซึมเศร้า, ปวดปลายประสาท",endogenous depression,0.9994,True,รอหลักฐานเพิ่มเติม,/drugs/duloxetine/
mirtazapine,Mirtazapine,DB00370,1A 150/67,L4,10,ซึมเศร้า,endogenous depression,0.9993,True,รอหลักฐานเพิ่มเติม,/drugs/mirtazapine/
bupropion,Bupropion,DB01156,1A 151/67,L4,10,"ซึมเศร้า, เลิกบุหรี่",attention deficit-hyperactivity disorder,0.9999,True,รอหลักฐานเพิ่มเติม,/drugs/bupropion/
erythropoietin,Erythropoietin,DB00016,1A 152/67,L4,10,โลหิตจาง,antithrombin deficiency type 2,0.9933,True,รอหลักฐานเพิ่มเติม,/drugs/erythropoietin/
filgrastim,Filgrastim,DB00099,1A 153/67,L4,10,ภาวะเม็ดเลือดขาวต่ำ,primary release disorder of platelets,1.0000,True,รอหลักฐานเพิ่มเติม,/drugs/filgrastim/
potassium_chloride,Potassium chloride,DB00761,1A 154/67,L4,10,โพแทสเซียมต่ำ,renal tubular acidosis,0.9987,True,รอหลักฐานเพิ่มเติม,/drugs/potassium_chloride/
magnesium_sulfate,Magnesium sulfate,DB00653,1A 155/67,L4,10,"แมกนีเซียมต่ำ, ครรภ์เป็นพิษ",mild pre-eclampsia,1.0000,True,รอหลักฐานเพิ่มเติม,/drugs/magnesium_sulfate/
